ID;МОДЕЛЬ;ТИП;ОПИСАНИЕ
1032820;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032821;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032824;СПАСА 6 (IVECO ML 100 E 18);СПАСА;Специальный пожарный аварийно-спасательный автомобиль
1032825;АЦ-2.0-40/4/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032829;АЦ-2.0-40/4/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032831;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032834;ТП-54/F 54 HDT Мерседес Актрос/ - шасси:Mercedes;КП;Коленчатые автомобильные подъемники пожарные
1032837;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032839;ДЛ-50/Ивеко-Магирус/ - шасси:Ивеко;АЛ;Автолестница длиной 50 метров
1032842;АЦ-2.0-40/4/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032851;СПАСА 6 (IVECO ML 100 E 18);СПАСА;Специальный пожарный аварийно-спасательный автомобиль
1032856;АЛ-32/DLK 23-12 n.B. GL/ - шасси:Ивеко;АЛ;Автолестница длиной 30 метров
1032857;АПСР (VOLKSWAGEN 2EKZ CRAFTER);АБР-Кобра;Автомобиль быстрого реагирования со стволом сверхвысокого давления с возможностью абразивной резки
1032860;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032863;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032867;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032873;АЛ-55/DLK-55 CS/ - шасси:Ивеко;АЛ;Автолестница длиной 50 метров
1032877;АЦ-2.0-40/4/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032934;АЦ-2.0-40/4/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032939;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032952;АПМ-3-2/40-1.38/100-100/43118/ - шасси:КамАЗ;АПМ;Автомобиль пожарный многоцелевой (с установкой тушения перегретым паром)
1032953;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032957;АНР-40-800/43253/;АН;Автонасос
1032959;ПНС-110/131/ - шасси:ЗиЛ;ПНС;Пожарная насосная станция
1032962;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032978;АЦ-2.0-40/4/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033031;АЦ-2.5-40/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033032;АНР-40-800/43253/;АН;Автонасос
1033140;АЛ-50/65115/ - шасси:КамАЗ;АЛ;Автолестница длиной 50 метров
1033142;АНР-40-800/43253/;АН;Автонасос
1033148;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033150;АЦ-3.2-40/4/5387/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033163;АЦ-2.5-40/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033177;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033198;АЦ-8.0-70/43118/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033205;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033209;АЦ-3.5-40/100/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033216;АЦ-3.2-40/4/МАН/ - шасси:МАН;АЦ;Автоцистерна с насосом высокого давления
1033219;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033221;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033351;ТП-54/F 54 HDT Мерседес Актрос/ - шасси:Mercedes;КП;Коленчатые автомобильные подъемники пожарные
1033361;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033364;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033434;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033462;АЦ-2.0-40/4/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033498;АЦ-2.5-40/433362/ - шасси:ЗиЛ;АЦ;Автоцистерна с насосом высокого давления
1033510;АНР-60/МАН;АН;Автонасос
1033541;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033543;АЦ-6.0-70/4/МАН/ - шасси:МАН;АЦ;Автоцистерна с насосом высокого давления
1033545;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033565;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033566;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033567;АЦ-8.0-70/43118/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033620;АЦ-5.5-40/5557/ - шасси:Урал;АЦ;Автоцистерна с насосом высокого давления
1033627;СПАСА - шасси:Ивеко;СПАСА;Специальный пожарный аварийно-спасательный автомобиль
1033633;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033706;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033726;АЛ-30/DLK 23-12 n.B. GL/ - шасси:Ивеко;АЛ;Автолестница длиной 30 метров
1033748;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033754;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033763;АЛ-32/DLK 23-12 n.B. GL/ - шасси:Ивеко;АЛ;Автолестница длиной 30 метров
1033813;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1033823;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
